Stock,YEAR,AGE,HARVEST,NATURAL_MORTALITY,MATURITY,POPULATION,CATCH_N,MEAN_W,FSPAWNING,MSPAWNING,SSB,REC,BIOMASS,CATCH,FCURR,minFbar,maxFbar,minYEAR,maxYEAR,minAGE,maxAGE,PlusG
HKE1567,2007,0,0.326801,1.24,0,248684.7733,41044.35444,0.017945794,0,0,4085.897683,248684.7733,11896.41303,4528.909594,1.21271,1,3,2007,2018,0,5,5
HKE1567,2007,1,1.17243,0.58,0.15,33774.90912,18679.31536,0.104756083,0,0,4085.897683,248684.7733,11896.41303,4528.909594,1.21271,1,3,2007,2018,0,5,5
HKE1567,2007,2,1.42741,0.45,0.82,4443.257498,2861.421054,0.403586334,0,0,4085.897683,248684.7733,11896.41303,4528.909594,1.21271,1,3,2007,2018,0,5,5
HKE1567,2007,3,1.03829,0.4,0.98,925.048015,509.2972108,0.944746527,0,0,4085.897683,248684.7733,11896.41303,4528.909594,1.21271,1,3,2007,2018,0,5,5
HKE1567,2007,4,0.414396,0.37,1,367.8667752,105.6462212,1.599184458,0,0,4085.897683,248684.7733,11896.41303,4528.909594,1.21271,1,3,2007,2018,0,5,5
HKE1567,2007,5,0.058293,0.35,1,231.5109637,11.08002361,2.764359077,0,0,4085.897683,248684.7733,11896.41303,4528.909594,1.21271,1,3,2007,2018,0,5,5
HKE1567,2008,0,0.524912,1.24,0,321512.5427,79251.98296,0.017490966,0,0,4446.193586,321512.5427,14393.70854,6509.336592,1.502353333,1,3,2007,2018,0,5,5
HKE1567,2008,1,1.45245,0.58,0.15,51903.48527,32232.2446,0.08820542,0,0,4446.193586,321512.5427,14393.70854,6509.336592,1.502353333,1,3,2007,2018,0,5,5
HKE1567,2008,2,1.76833,0.45,0.82,5854.972847,4159.506314,0.398067911,0,0,4446.193586,321512.5427,14393.70854,6509.336592,1.502353333,1,3,2007,2018,0,5,5
HKE1567,2008,3,1.28628,0.4,0.98,679.7560448,422.4799284,0.955104046,0,0,4446.193586,321512.5427,14393.70854,6509.336592,1.502353333,1,3,2007,2018,0,5,5
HKE1567,2008,4,0.822469,0.37,1,219.543857,105.4709579,1.614541123,0,0,4446.193586,321512.5427,14393.70854,6509.336592,1.502353333,1,3,2007,2018,0,5,5
HKE1567,2008,5,0.0722155,0.35,1,321.7972629,18.95618281,2.665024883,0,0,4446.193586,321512.5427,14393.70854,6509.336592,1.502353333,1,3,2007,2018,0,5,5
HKE1567,2009,0,0.451559,1.24,0,254834.8676,55494.86813,0.020138641,0,0,4618.188261,254834.8676,14688.79367,7239.084048,1.713873333,1,3,2007,2018,0,5,5
